Rank,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
101,What a Beautiful Day,60661950.0,0,0,"6,06,61,950",100%,2011
102,One Day,59389433.0,"1,38,43,771",23.30%,"4,55,45,662",76.70%,2011
103,The Tree of Life,58385840.0,"1,33,03,319",22.80%,"4,50,82,521",77.20%,2011
104,Beginning of the Great Revival,58309289.0,"1,51,000",0.30%,"5,81,58,289",99.70%,2011
105,Killer Elite,57084522.0,"2,51,24,966",44%,"3,19,59,556",56%,2011
106,Gekijouban Tenpesuto 3D,57082491.0,0,0,"5,70,82,491",100%,2011
107,Silent Hill: Revelation,55362705.0,"1,75,29,157",31.70%,"3,78,33,548",68.30%,2011
108,Extremely Loud & Incredibly Close,55247881.0,"3,18,47,881",57.60%,"2,34,00,000",42.40%,2011
109,Madea's Big Happy Family,54161287.0,"5,33,45,287",98.50%,"8,16,000",1.50%,2011
110,A Ghost of a Chance,53982636.0,0,0,"5,39,82,636",100%,2011
111,Sunny,51116421.0,0,0,"5,11,16,421",100%,2011
112,War of the Arrows,50587661.0,"2,51,200",0.50%,"5,03,36,461",99.50%,2011
113,Kokowääh,50447784.0,0,0,"5,04,47,784",100%,2011
114,Winnie the Pooh,49871429.0,"2,66,92,846",53.50%,"2,31,78,583",46.50%,2011
115,Arthur,48147945.0,"3,30,35,397",68.60%,"1,51,12,548",31.40%,2011
116,Soul Surfer,47120948.0,"4,38,53,424",93.10%,"32,67,524",6.90%,2011
117,The Debt,45636368.0,"3,11,77,548",68.30%,"1,44,58,820",31.70%,2011
118,Beastly,43202283.0,"2,78,65,571",64.50%,"1,53,36,712",35.50%,2011
119,Detective Conan: Quarter of Silence,42808575.0,0,0,"4,28,08,575",100%,2011
120,Shaolin,42741494.0,"66,099",0.20%,"4,26,75,395",99.80%,2011
121,Born to Be Wild,41644475.0,"2,59,78,556",62.40%,"1,56,65,919",37.60%,2011
122,Shark Night,41363927.0,"1,88,77,153",45.60%,"2,24,86,774",54.40%,2011
123,50/50,41097853.0,"3,50,14,192",85.20%,"60,83,661",14.80%,2011
124,Fright Night,41002607.0,"1,83,02,607",44.60%,"2,27,00,000",55.40%,2011
125,Drive Angry,40909909.0,"1,07,21,033",26.20%,"3,01,88,876",73.80%,2011
126,30 Minutes or Less,40662632.0,"3,70,53,924",91.10%,"36,08,708",8.90%,2011
127,Gantz,40568961.0,0,0,"4,05,68,961",100%,2011
128,The Roommate,40492652.0,"3,73,00,000",92.10%,"31,92,652",7.90%,2011
129,SP: The Motion Picture II,40255101.0,0,0,"4,02,55,101",100%,2011
130,Dream House,39984400.0,"2,13,02,340",53.30%,"1,86,82,060",46.70%,2011
131,Monte Carlo,39782683.0,"2,31,86,769",58.30%,"1,65,95,914",41.70%,2011
132,Kaibutsu0kun: The Movie,39766344.0,0,0,"3,97,66,344",100%,2011
133,Mars Needs Moms,39233678.0,"2,13,92,758",54.50%,"1,78,40,920",45.50%,2011
134,The Crown Jewels,39000000.0,0,0,"3,90,00,000",100%,2011
135,Don't Be Afraid of the Dark,38269529.0,"2,40,46,682",62.80%,"1,42,22,847",37.20%,2011
136,Jumping the Broom,38158601.0,"3,72,95,394",97.70%,"8,63,207",2.30%,2011
137,One for the Money,38080789.0,"2,64,14,527",69.40%,"1,16,66,262",30.60%,2011
138,The Eagle,37989684.0,"1,94,90,041",51.30%,"1,84,99,643",48.70%,2011
139,A Very Harold & Kumar Christmas,36192775.0,"3,50,61,031",96.90%,"11,31,744",3.10%,2011
140,Ra.One,35911689.0,"25,11,689",7%,"3,34,00,000",93%,2011
141,Courageous,35185884.0,"3,45,22,221",98.10%,"6,63,663",1.90%,2011
142,My Week with Marilyn,35057696.0,"1,46,00,347",41.60%,"2,04,57,349",58.40%,2011
143,The Sitter,34942188.0,"3,04,41,326",87.10%,"45,00,862",12.90%,2011
144,Jane Eyre,34710627.0,"1,12,42,660",32.40%,"2,34,67,967",67.60%,2011
145,The Skin I Live In,33678406.0,"31,85,812",9.50%,"3,04,92,594",90.50%,2011
146,Gantz: Perfect Answer,33672515.0,0,0,"3,36,72,515",100%,2011
147,Punch,33556725.0,0,0,"3,35,56,725",100%,2011
148,Detective K: Secret of Virtuous Widow,32358664.0,0,0,"3,23,58,664",100%,2011
149,Bodyguard,31516209.0,"18,34,384",5.80%,"2,96,81,825",94.20%,2011
150,The Thing,31505287.0,"1,69,28,670",53.70%,"1,45,76,617",46.30%,2011
151,I Don't Know How She Does It,31410151.0,"96,62,284",30.80%,"2,17,47,867",69.20%,2011
152,"All's Well, Ends Well 2011",31335572.0,0,0,"3,13,35,572",100%,2011
153,Vysotsky. Thank You for Being Alive,31016553.0,0,0,"3,10,16,553",100%,2011
154,Silenced,30996130.0,0,0,"3,09,96,130",100%,2011
155,African Cats,30857747.0,"1,54,28,747",50%,"1,54,29,000",50%,2011
156,A Dangerous Method,30519436.0,"57,04,709",18.70%,"2,48,14,727",81.30%,2011
157,What's Your Number?,30426096.0,"1,40,11,084",46%,"1,64,15,012",54%,2011
158,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,30236973.0,0,0,"3,02,36,973",100%,2011
159,Eternal Moment,30186159.0,0,0,"3,01,86,159",100%,2011
160,The Rum Diary,30134958.0,"1,31,09,815",43.50%,"1,70,25,143",56.50%,2011
161,My Own Swordsman,30082188.0,0,0,"3,00,82,188",100%,2011
162,Carnage,30035601.0,"25,47,047",8.50%,"2,74,88,554",91.50%,2011
163,You Are the Apple of My Eye,29843025.0,0,0,"2,98,43,025",100%,2011
164,Torrente 4: Lethal Crisis,29737384.0,0,0,"2,97,37,384",100%,2011
165,The Sorcerer and the White Snake,29649716.0,0,0,"2,96,49,716",100%,2011
166,Unfair: The Answer,29166054.0,0,0,"2,91,66,054",100%,2011
167,Dragon,29140858.0,0,0,"2,91,40,858",100%,2011
168,Yolki 2,28719002.0,0,0,"2,87,19,002",100%,2011
169,Your Highness,28013733.0,"2,15,96,445",77.10%,"64,17,288",22.90%,2011
170,Love Strikes!,27707149.0,0,0,"2,77,07,149",100%,2011
171,The Women on the 6th Floor,27533970.0,"7,19,823",2.60%,"2,68,14,147",97.40%,2011
172,Letters to Santa,26923513.0,0,0,"2,69,23,513",100%,2011
173,A Monster in Paris,26710392.0,0,0,"2,67,10,392",100%,2011
174,Ivan Tsarevich & the Grey Wolf,26420475.0,0,0,"2,64,20,475",100%,2011
175,Apollo 18,26236153.0,"1,76,87,709",67.40%,"85,48,444",32.60%,2011
176,Our Idiot Brother,25804448.0,"2,48,16,118",96.20%,"9,88,330",3.80%,2011
177,Eyyvah Eyvah 2,24792348.0,0,0,"2,47,92,348",100%,2011
178,Ready,24663361.0,"9,55,148",3.90%,"2,37,08,213",96.10%,2011
179,In His Chart,23384864.0,0,0,"2,33,84,864",100%,2011
180,Warrior,23308615.0,"1,36,57,115",58.60%,"96,51,500",41.40%,2011
181,Hoodwinked Too! Hood vs. Evil,23167844.0,"1,01,43,779",43.80%,"1,30,24,065",56.20%,2011
182,Young Adult,22939027.0,"1,63,11,571",71.10%,"66,27,456",28.90%,2011
183,Andalucia: Revenge of the Goddess,22929221.0,0,0,"2,29,29,221",100%,2011
184,A Separation,22926076.0,"70,99,055",31%,"1,58,27,021",69%,2011
185,Qualunquemente,22862029.0,0,0,"2,28,62,029",100%,2011
186,Friends: Naki on the Monster Island,22537428.0,0,0,"2,25,37,428",100%,2011
187,Kamen Rider OOO Wonderful: The Shogun and the 21 Core Medals,22313925.0,0,0,"2,23,13,925",100%,2011
188,Gooische vrouwen,22194574.0,0,0,"2,21,94,574",100%,2011
189,The Immature,21858834.0,0,0,"2,18,58,834",100%,2011
190,Pleasant Goat and Big Big Wolf 3,21847806.0,0,0,"2,18,47,806",100%,2011
191,Quick,21561934.0,0,0,"2,15,61,934",100%,2011
192,K0On! The Movie,21434003.0,0,0,"2,14,34,003",100%,2011
193,Red Dog,21185162.0,0,0,"2,11,85,162",100%,2011
194,Vicky and the Treasure of the Gods,20796153.0,0,0,"2,07,96,153",100%,2011
195,The Front Line,20629645.0,"11,018",0,"2,06,18,627",99.90%,2011
196,Polisse,20590872.0,"2,11,440",1%,"2,03,79,432",99%,2011
197,Hollywoo,20587850.0,0,0,"2,05,87,850",100%,2011
198,Scabbard Samurai,20251745.0,0,0,"2,02,51,745",100%,2011
199,Kaiji 2: The Ultimate Gambler,19971259.0,0,0,"1,99,71,259",100%,2011
0,The Avengers,1518812988.0,"62,33,57,910",41%,"89,54,55,078",59%,2012
1,Skyfall,1108561013.0,"30,43,60,277",27.50%,"80,42,00,736",72.50%,2012
2,The Dark Knight Rises,1084939099.0,"44,81,39,099",41.30%,"63,68,00,000",58.70%,2012
3,The Hobbit: An Unexpected Journey,1017003568.0,"30,30,03,568",29.80%,"71,40,00,000",70.20%,2012
4,Ice Age: Continental Drift,877244782.0,"16,13,21,843",18.40%,"71,59,22,939",81.60%,2012
5,The Twilight Saga: Breaking Dawn 0 Part 2,829746820.0,"29,23,24,737",35.20%,"53,74,22,083",64.80%,2012
6,The Amazing Spider0Man,757930663.0,"26,20,30,663",34.60%,"49,59,00,000",65.40%,2012
7,Madagascar 3: Europe's Most Wanted,746921274.0,"21,63,91,482",29%,"53,05,29,792",71%,2012
8,The Hunger Games,694394724.0,"40,80,10,692",58.80%,"28,63,84,032",41.20%,2012
9,Men in Black³,654213485.0,"17,90,20,854",27.40%,"47,51,92,631",72.60%,2012
10,Life of Pi,609016565.0,"12,49,87,023",20.50%,"48,40,29,542",79.50%,2012
11,Ted,549368315.0,"21,88,15,487",39.80%,"33,05,52,828",60.20%,2012
12,Brave,538983207.0,"23,72,83,207",44%,"30,17,00,000",56%,2012
13,Wreck0It Ralph,471222889.0,"18,94,22,889",40.20%,"28,18,00,000",59.80%,2012
14,Les Misérables,442299309.0,"14,88,09,770",33.60%,"29,34,89,539",66.40%,2012
15,Django Unchained,425368238.0,"16,28,05,434",38.30%,"26,25,62,804",61.70%,2012
16,Prometheus,403354469.0,"12,64,77,084",31.40%,"27,68,77,385",68.60%,2012
17,Snow White and the Huntsman,396592829.0,"15,53,32,381",39.20%,"24,12,60,448",60.80%,2012
18,Taken 2,376141306.0,"13,98,54,287",37.20%,"23,62,87,019",62.80%,2012
19,Hotel Transylvania,358375603.0,"14,83,13,048",41.40%,"21,00,62,555",58.60%,2012
20,Titanic 2012 3D Release,350449521.0,"5,78,84,114",16.50%,"29,25,65,407",83.50%,2012
21,The Lorax,348961366.0,"21,41,51,550",61.40%,"13,48,09,816",38.60%,2012
22,Journey 2: The Mysterious Island,335260290.0,"10,38,60,290",31%,"23,14,00,000",69%,2012
23,The Expendables 2,314975955.0,"8,50,28,192",27%,"22,99,47,763",73%,2012
24,Rise of the Guardians,306941670.0,"10,34,12,758",33.70%,"20,35,28,912",66.30%,2012
25,Battleship,303025485.0,"6,54,22,625",21.60%,"23,76,02,860",78.40%,2012
26,Wrath of the Titans,301970083.0,"8,36,70,083",27.70%,"21,83,00,000",72.30%,2012
27,John Carter,284139100.0,"7,30,78,100",25.70%,"21,10,61,000",74.30%,2012
28,The Bourne Legacy,276144750.0,"11,32,03,870",41%,"16,29,40,880",59%,2012
29,Lincoln,275293450.0,"18,22,07,973",66.20%,"9,30,85,477",33.80%,2012
30,We're the Millers,269994119.0,"15,03,94,119",55.70%,"11,96,00,000",44.30%,2012
31,Dark Shadows,245527149.0,"7,97,27,149",32.50%,"16,58,00,000",67.50%,2012
32,Resident Evil: Retribution,240159255.0,"4,23,45,531",17.60%,"19,78,13,724",82.40%,2012
33,Silver Linings Playbook,236412453.0,"13,20,92,958",55.90%,"10,43,19,495",44.10%,2012
34,American Reunion,234989584.0,"5,70,11,521",24.30%,"17,79,78,063",75.70%,2012
35,Argo,232325503.0,"13,60,25,503",58.50%,"9,63,00,000",41.50%,2012
36,Jack Reacher,218340595.0,"8,00,70,736",36.70%,"13,82,69,859",63.30%,2012
37,Safe House,208076205.0,"12,63,73,434",60.70%,"8,17,02,771",39.30%,2012
38,21 Jump Street,201585328.0,"13,84,47,667",68.70%,"6,31,37,661",31.30%,2012
39,Total Recall,198467168.0,"5,88,77,969",29.70%,"13,95,89,199",70.30%,2012
40,The Impossible,198087212.0,"1,90,19,882",9.60%,"17,90,67,330",90.40%,2012
41,Lost in Thailand,197757387.0,"57,387",0,"19,77,00,000",100%,2012
42,The Vow,196114570.0,"12,50,14,030",63.70%,"7,11,00,540",36.30%,2012
43,Mirror Mirror,183018522.0,"6,49,35,167",35.50%,"11,80,83,355",64.50%,2012
44,The Dictator,179379533.0,"5,96,50,222",33.30%,"11,97,29,311",66.70%,2012
45,Looper,176506819.0,"6,64,86,205",37.70%,"11,00,20,614",62.30%,2012
46,Chinese Zodiac,170525083.0,0,0,"17,05,25,083",100%,2012
47,Magic Mike,167221571.0,"11,37,21,571",68%,"5,35,00,000",32%,2012
48,Flight,161772375.0,"9,37,72,375",58%,"6,80,00,000",42%,2012
49,Underworld: Awakening,160112671.0,"6,23,21,039",38.90%,"9,77,91,632",61.10%,2012
50,This Means War,156491279.0,"5,47,60,791",35%,"10,17,30,488",65%,2012
51,Paranormal Activity 4,142802657.0,"5,38,85,000",37.70%,"8,89,17,657",62.30%,2012
52,Step Up Revolution,140470746.0,"3,50,74,677",25%,"10,53,96,069",75%,2012
53,The Best Exotic Marigold Hotel,136836156.0,"4,64,12,041",33.90%,"9,04,24,115",66.10%,2012
54,The Wind Rises,136483439.0,"52,09,580",3.80%,"13,12,73,859",96.20%,2012
55,Last Vegas,134402450.0,"6,39,14,167",47.60%,"7,04,88,283",52.40%,2012
56,Zero Dark Thirty,132820716.0,"9,57,20,716",72.10%,"3,71,00,000",27.90%,2012
57,Ghost Rider: Spirit of Vengeance,132563930.0,"5,17,74,002",39.10%,"8,07,89,928",60.90%,2012
58,Cloud Atlas,130482868.0,"2,71,08,272",20.80%,"10,33,74,596",79.20%,2012
59,The Woman in Black,128955898.0,"5,43,33,290",42.10%,"7,46,22,608",57.90%,2012
60,Chronicle,126636097.0,"6,45,75,175",51%,"6,20,60,922",49%,2012
61,Walking with Dinosaurs 3D,126546518.0,"3,60,76,121",28.50%,"9,04,70,397",71.50%,2012
62,The Pirates! Band of Misfits,123054041.0,"3,10,51,126",25.20%,"9,20,02,915",74.80%,2012
63,Parental Guidance,119772232.0,"7,72,67,296",64.50%,"4,25,04,936",35.50%,2012
64,Abraham Lincoln: Vampire Hunter,116471580.0,"3,75,19,139",32.20%,"7,89,52,441",67.80%,2012
65,Pitch Perfect,115350426.0,"6,50,01,093",56.40%,"5,03,49,333",43.60%,2012
66,Hope Springs,114281051.0,"6,35,36,011",55.60%,"5,07,45,040",44.40%,2012
67,ParaNorman,107139399.0,"5,60,03,051",52.30%,"5,11,36,348",47.70%,2012
68,The Campaign,104907746.0,"8,69,07,746",82.80%,"1,80,00,000",17.20%,2012
69,Star Wars: Episode I 0 The Phantom Menace 2012 3D Release,102741546.0,"4,34,58,335",42.30%,"5,92,83,211",57.70%,2012
70,Project X,102731865.0,"5,47,31,865",53.30%,"4,80,00,000",46.70%,2012
71,The Devil Inside,101758490.0,"5,32,61,944",52.30%,"4,84,96,546",47.70%,2012
72,The Lucky One,99357138.0,"6,04,57,138",60.80%,"3,89,00,000",39.20%,2012
73,Contraband,96262212.0,"6,65,28,000",69.10%,"2,97,34,212",30.90%,2012
74,Think Like a Man,96070507.0,"9,15,47,205",95.30%,"45,23,302",4.70%,2012
75,Masquerade,94268432.0,"9,22,921",1%,"9,33,45,511",99%,2012
76,Brave Hearts: Umizaru,91884352.0,0,0,"9,18,84,352",100%,2012
77,This Is 40,88215156.0,"6,75,44,505",76.60%,"2,06,70,651",23.40%,2012
78,The Thieves,87126367.0,"6,85,839",0.80%,"8,64,40,528",99.20%,2012
79,The Possession,85446075.0,"4,91,30,154",57.50%,"3,63,15,921",42.50%,2012
80,What to Expect When You're Expecting,84384002.0,"4,11,52,203",48.80%,"4,32,31,799",51.20%,2012
81,Savages,82966152.0,"4,73,82,068",57.10%,"3,55,84,084",42.90%,2012
82,Sinister,82515113.0,"4,80,86,903",58.30%,"3,44,28,210",41.70%,2012
83,Act of Valor,82497035.0,"7,00,12,847",84.90%,"1,24,84,188",15.10%,2012
84,Frankenweenie,81491068.0,"3,52,91,068",43.30%,"4,62,00,000",56.70%,2012
85,The Grey,79781695.0,"5,15,80,236",64.70%,"2,82,01,459",35.30%,2012
86,Diary of a Wimpy Kid: Dog Days,77229695.0,"4,90,08,662",63.50%,"2,82,21,033",36.50%,2012
87,Thermae Romae,74285251.0,0,0,"7,42,85,251",100%,2012
88,One Piece Film Z,74223861.0,0,0,"7,42,23,861",100%,2012
89,To Rome with Love,73244881.0,"1,66,85,867",22.80%,"5,65,59,014",77.20%,2012
90,Here Comes the Boom,73100172.0,"4,52,90,318",62%,"2,78,09,854",38%,2012
91,Bayside Shakedown the Final,72867395.0,0,0,"7,28,67,395",100%,2012
92,The Cabin in the Woods,69935600.0,"4,20,73,277",60.20%,"2,78,62,323",39.80%,2012
93,Finding Nemo 2012 3D Release,69328283.0,"4,11,28,283",59.30%,"2,82,00,000",40.70%,2012
94,Anna Karenina,68929150.0,"1,28,16,367",18.60%,"5,61,12,783",81.40%,2012
95,The Watch,68267862.0,"3,53,53,000",51.80%,"3,29,14,862",48.20%,2012
96,Moonrise Kingdom,68263166.0,"4,55,12,466",66.70%,"2,27,50,700",33.30%,2012
97,The Secret of the Gods,67537798.0,0,0,"6,75,37,798",100%,2012
98,Madea's Witness Protection,66899242.0,"6,56,53,242",98.10%,"12,46,000",1.90%,2012
99,Beauty and the Beast 2012 3D Release,62008601.0,"4,76,17,067",76.80%,"1,43,91,534",23.20%,2012
100,Astérix and Obélix: God Save Britannia,61319383.0,0,0,"6,13,19,383",100%,2012
101,Evangelion: 3.0 You Can (Not) Redo,60488344.0,"1,74,945",0.30%,"6,03,13,399",99.70%,2012
102,Quartet,59520298.0,"1,83,90,117",30.90%,"4,11,30,181",69.10%,2012
103,Rock of Ages,59418613.0,"3,85,18,613",64.80%,"2,09,00,000",35.20%,2012
104,That's My Boy,57719093.0,"3,69,31,089",64%,"2,07,88,004",36%,2012
105,The Odd Life of Timothy Green,56012642.0,"5,18,54,875",92.60%,"41,57,767",7.40%,2012
106,Lawless,55404159.0,"3,74,00,127",67.50%,"1,80,04,032",32.50%,2012
107,End of Watch,55078146.0,"4,10,03,371",74.40%,"1,40,74,775",25.60%,2012
108,Wolf Children,54984346.0,0,0,"5,49,84,346",100%,2012
109,The Three Stooges,54819301.0,"4,43,38,224",80.90%,"1,04,81,077",19.10%,2012
110,The Five0Year Engagement,54169363.0,"2,88,35,528",53.20%,"2,53,33,835",46.80%,2012
111,Red Dawn,50950296.0,"4,48,06,783",87.90%,"61,43,513",12.10%,2012
112,Red Tails,50365498.0,"4,98,76,377",99%,"4,89,121",1%,2012
113,"Monsters, Inc. 2012 3D Release",50207820.0,"3,40,43,006",67.80%,"1,61,64,814",32.20%,2012
114,HOUBA! On the Trail of the Marsupilami,50146474.0,0,0,"5,01,46,474",100%,2012
115,Tad: The Lost Explorer,49491464.0,0,0,"4,94,91,464",100%,2012
116,A Turtle's Tale 2: Sammy's Escape from Paradise,49261830.0,0,0,"4,92,61,830",100%,2012
117,Trouble with the Curve,48963137.0,"3,57,63,137",73%,"1,32,00,000",27%,2012
118,Man on a Ledge,47636031.0,"1,86,20,000",39.10%,"2,90,16,031",60.90%,2012
119,A Werewolf Boy,46282588.0,"3,42,922",0.70%,"4,59,39,666",99.30%,2012
120,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,46180706.0,0,0,"4,61,80,706",100%,2012
121,Gekijouban Tenpesuto 3D 2012 Re0release,46008255.0,0,0,"4,60,08,255",100%,2012
122,Detective Conan: The Eleventh Striker,44369456.0,0,0,"4,43,69,456",100%,2012
123,House at the End of the Street,44287131.0,"3,16,11,916",71.40%,"1,26,75,215",28.60%,2012
124,The Guilt Trip,41863726.0,"3,71,34,215",88.70%,"47,29,511",11.30%,2012
125,Safe,41564670.0,"1,71,42,080",41.20%,"2,44,22,590",58.80%,2012
126,Dredd,41037742.0,"1,34,14,714",32.70%,"2,76,23,028",67.30%,2012
127,La vérité si je mens! 3,40928635.0,0,0,"4,09,28,635",100%,2012
128,Always: Sunset on Third Street '64,40923305.0,0,0,"4,09,23,305",100%,2012
129,Chernobyl Diaries,38390020.0,"1,81,19,640",47.20%,"2,02,70,380",52.80%,2012
130,Killing Them Softly,37930465.0,"1,50,26,056",39.60%,"2,29,04,409",60.40%,2012
131,Rurouni Kenshin Part I: Origins,37654579.0,0,0,"3,76,54,579",100%,2012
132,The Tower,36512327.0,0,0,"3,65,12,327",100%,2012
133,Conquest 1453,35797045.0,"35,730",0,"3,57,61,315",99.90%,2012
134,Good Deeds,35579177.0,"3,50,25,791",98.40%,"5,53,386",1.60%,2012
135,Arbitrage,35485056.0,"79,19,574",22.30%,"2,75,65,482",77.70%,2012
136,Welcome to the North,34995189.0,0,0,"3,49,95,189",100%,2012
137,Chimpanzee,34823764.0,"2,89,72,764",83.20%,"58,51,000",16.80%,2012
138,Alex Cross,34618867.0,"2,58,88,412",74.80%,"87,30,455",25.20%,2012
139,Salmon Fishing in the Yemen,34564651.0,"90,47,981",26.20%,"2,55,16,670",73.80%,2012
140,Haywire,34513760.0,"1,89,42,396",54.90%,"1,55,71,364",45.10%,2012
141,Adventures in Zambezia,34428345.0,0,0,"3,44,28,345",100%,2012
142,Cirque du Soleil: Worlds Away,34153101.0,"1,25,12,862",36.60%,"2,16,40,239",63.40%,2012
143,Three Heroes on Distant Shores,33674759.0,0,0,"3,36,74,759",100%,2012
144,2016: Obama's America,33449086.0,"3,34,49,086",100%,0,0,2012
145,The Perks of Being a Wallflower,33384127.0,"1,77,42,948",53.10%,"1,56,41,179",46.90%,2012
146,Lockout,32948113.0,"1,43,26,864",43.50%,"1,86,21,249",56.50%,2012
147,Bait,32813407.0,0,0,"3,28,13,407",100%,2012
148,Katy Perry: Part of Me,32726956.0,"2,53,26,071",77.40%,"74,00,885",22.60%,2012
149,Nameless Gangster: Rules of the Time,32472645.0,0,0,"3,24,72,645",100%,2012
150,Movie 43,32438988.0,"88,40,453",27.30%,"2,35,98,535",72.70%,2012
151,The Floating Castle,31967471.0,0,0,"3,19,67,471",100%,2012
152,The Neighbors,31949315.0,0,0,"3,19,49,315",100%,2012
153,The Dream Team,31822402.0,0,0,"3,18,22,402",100%,2012
154,What's in a Name?,31303580.0,"8,111",0,"3,12,95,469",100%,2012
155,Joyful Noise,31158113.0,"3,09,32,113",99.30%,"2,26,000",0.70%,2012
156,Premium Rush,31083599.0,"2,02,75,446",65.20%,"1,08,08,153",34.80%,2012
157,Playing for Keeps,30962335.0,"1,31,03,272",42.30%,"1,78,59,063",57.70%,2012
158,The Four,30505808.0,0,0,"3,05,05,808",100%,2012
159,The Grand Heist,30158762.0,0,0,"3,01,58,762",100%,2012
160,The Raven,29699345.0,"1,60,08,272",53.90%,"1,36,91,073",46.10%,2012
161,Amour,29652180.0,"67,39,492",22.70%,"2,29,12,688",77.30%,2012
162,All About My Wife,29382038.0,0,0,"2,93,82,038",100%,2012
163,Seven Psychopaths,29347202.0,"1,50,24,049",51.20%,"1,43,23,153",48.80%,2012
164,Rowdy Rathore,29342463.0,"7,77,373",2.60%,"2,85,65,090",97.40%,2012
165,SPEC: Heaven,29023960.0,0,0,"2,90,23,960",100%,2012
166,We Were There: True Love,28876929.0,0,0,"2,88,76,929",100%,2012
167,Bol Bachchan,28775262.0,"12,16,258",4.20%,"2,75,59,004",95.80%,2012
168,Deranged,28444173.0,0,0,"2,84,44,173",100%,2012
169,The Master,28258060.0,"1,63,77,274",58%,"1,18,80,786",42%,2012
170,Hitchcock,27039669.0,"60,08,677",22.20%,"2,10,30,992",77.80%,2012
171,Dearest,26723916.0,0,0,"2,67,23,916",100%,2012
172,Architecture 101,26642354.0,0,0,"2,66,42,354",100%,2012
173,Dancing Queen,26411266.0,0,0,"2,64,11,266",100%,2012
174,Lesson of the Evil,26167224.0,0,0,"2,61,67,224",100%,2012
175,Agneepath,26001696.0,"19,86,748",7.60%,"2,40,14,948",92.40%,2012
176,Rust and Bone,25807712.0,"20,62,027",8%,"2,37,45,685",92%,2012
177,Head Over Heels 2,25402893.0,0,0,"2,54,02,893",100%,2012
178,On the Other Side of the Tracks,25109572.0,"9,572",0,"2,51,00,000",100%,2012
179,Helter Skelter,25066699.0,0,0,"2,50,66,699",100%,2012
180,The Last Tycoon,25009914.0,0,0,"2,50,09,914",100%,2012
181,Housefull 2,24922847.0,"17,91,780",7.20%,"2,31,31,067",92.80%,2012
182,Big Miracle,24719215.0,"2,01,57,300",81.50%,"45,61,915",18.50%,2012
183,Sparkle,24637800.0,"2,43,97,469",99%,"2,40,331",1%,2012
184,The Players,24629152.0,"10,854",0,"2,46,18,298",100%,2012
185,Liar Game: Reborn,24549726.0,0,0,"2,45,49,726",100%,2012
186,I Want You,23961214.0,0,0,"2,39,61,214",100%,2012
187,Turkish for Beginners,23952712.0,0,0,"2,39,52,712",100%,2012
188,Wanderlust,23812816.0,"1,74,50,535",73.30%,"63,62,281",26.70%,2012
189,"Little Brother, Big Trouble: A Christmas Adventure",23785681.0,0,0,"2,37,85,681",100%,2012
190,To the Arctic 3D,23695388.0,"1,45,60,838",61.50%,"91,34,550",38.50%,2012
191,Hotaru the Movie: It's Only a Little Light in My Life,22975341.0,0,0,"2,29,75,341",100%,2012
192,Kon0Tiki,22842887.0,"15,17,410",6.60%,"2,13,25,477",93.40%,2012
193,Fall in Love Like a Star,22640355.0,0,0,"2,26,40,355",100%,2012
194,Upside Down,22187813.0,"1,05,095",0.50%,"2,20,82,718",99.50%,2012
195,Unbowed,22132903.0,0,0,"2,21,32,903",100%,2012
196,Confession of Murder,21701525.0,0,0,"2,17,01,525",100%,2012
197,StreetDance 2 2012 Re0release,21638853.0,0,0,"2,16,38,853",100%,2012
198,2012 2012 Re0release,21538353.0,0,0,"2,15,38,353",100%,2012
199,Beasts of the Southern Wild,21107746.0,"1,27,95,746",60.60%,"83,12,000",39.40%,2012
0,Frozen,1280802282.0,"40,07,38,009",31.30%,"88,00,64,273",68.70%,2013
1,Iron Man 3,1214811252.0,"40,90,13,994",33.70%,"80,57,97,258",66.30%,2013
